SERVICEREQUESTID,SERVICEPRIORITY,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODE,SERVICETYPECODEDESCRIPTION,SERVICEORDERDATE,SERVICEORDERSTATUS,SERVICECALLCOUNT,AGENCYABBREVIATION,INSPECTIONFLAG,INSPECTIONDATE,RESOLUTION,RESOLUTIONDATE,SERVICEDUEDATE,SERVICENOTES,PARENTSERVICEREQUESTID,ADDDATE,LASTMODIFIEDDATE,SITEADDRESS,LATITUDE,LONGITUDE,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,SERVICESOURCECODE
14-00028164,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 10:00:00 AM,CLOSED,1,DDOT,N,2/10/2014 1:37:28 PM,UNKNOWN,2/10/2014 1:33:06 PM,2/13/2014 10:00:00 AM,Comments update:  14-00028164-Broken Parking Meter  Meter Found Working,,2/6/2014 10:00:00 AM,2/10/2014 4:35:52 PM,3300 - 3398 BLOCK CONNECTICUT AVENUE NW,38.93379654989170,-77.05748202128170,,0,475242,409007,3,3C,3C09,SECOND,203,15,NONE,NONE,NONE,OPEN311
14-00028165,UNKNOWN,S0391,Street Cleaning,STRALLCL,Street Cleaning,2/6/2014 10:00:10 AM,CLOSED,1,DPW,N,,UNKNOWN,2/14/2014 11:17:05 AM,3/19/2014 10:00:10 AM,,,2/6/2014 10:00:10 AM,10/23/2014 2:51:09 PM,5300 - 5399 BLOCK JAY STREET NE,38.90137530099730,-76.92326567954520,,0,463696,398972,7,7C,7C06,SIXTH,608,31,NONE,NONE,NONE,PHONE
14-00028166,UNKNOWN,S0321,Recycling Collection - Missed,SWMCOLRE,Recycling,2/6/2014 10:01:13 AM,OVERDUE CLOSED,1,DPW,N,2/7/2014 1:58:00 PM,Collected - Close SR,2/26/2014 1:59:04 PM,2/10/2014 10:01:13 AM,CLD BY AH   02/26/14    COLLECTED BY DS,,2/6/2014 10:01:13 AM,10/28/2014 3:26:59 PM,600 - 699 BLOCK A STREET SE,38.88867711243770,-76.99731378346010,,0,460129,395814,6,6B,6B02,FIRST,107,26,NONE,NONE,NONE,PHONE
14-00028167,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/6/2014 10:02:25 AM,CLOSED,1,DDOT,N,2/8/2014 12:51:46 PM,UNKNOWN,2/8/2014 12:51:48 PM,2/11/2014 10:02:25 AM,"POTHOLE STREET REPAIR ( WO # 405498 )Projected Start:  FEB 07, 2014    Finish: FEB 09, 2014   Actual Start:  N/A    Finish: FEB 08, 2014",,2/6/2014 10:02:25 AM,2/9/2014 5:34:38 AM,43RD STREET NW & GARFIELD STREET NW,38.92752839127090,-77.08380969191280,,0,276722,276909,3,3D,3D01,SECOND,205,13,NONE,NONE,NONE,PHONE
14-00028168,UNKNOWN,ITISSUES,DMV - Online Processing Problems,DRIVEHSE,Driver Vehicle Services,2/6/2014 10:04:50 AM,OVERDUE CLOSED,1,DMV,N,2/18/2014 3:22:00 PM,Complete - Close SR,2/18/2014 3:22:22 PM,2/18/2014 10:04:50 PM,customer was reinstated on 02/09/2014,,2/6/2014 10:04:50 AM,3/3/2014 12:21:10 PM,900 - 999 BLOCK CONSTITUTION AVENUE NW,38.89208118988180,-77.02497623421050,,0,456663,392685,2,2C,2C03,FIRST,101,NONE,NONE,NONE,NONE,PHONE
14-00028169,UNKNOWN,S0441,Trash Collection - Missed,SWMCOLTR,Trash Collection,2/6/2014 10:04:51 AM,OVERDUE CLOSED,1,DPW,N,2/7/2014 1:59:00 PM,Not Found - Close SR,2/26/2014 1:59:48 PM,2/10/2014 10:04:51 AM,CLD BY AH   02/26/14    COLLECTED BY DS,,2/6/2014 10:04:51 AM,10/28/2014 3:26:59 PM,513 G STREET SW,38.88147038166290,-77.01937581911690,20024,12707,7823,7823,6,6D,6D01,FIRST,105,9,NONE,NONE,NONE,PHONE
14-00028170,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 10:06:15 AM,CLOSED,1,DDOT,N,2/6/2014 10:37:22 AM,UNKNOWN,2/6/2014 10:33:06 AM,2/13/2014 10:06:15 AM,Comments update:  14-00028170-Address Not Found,,2/6/2014 10:06:15 AM,3/3/2014 12:21:10 PM,2111 - 2199 BLOCK WISCONSIN AVENUE NW,38.91846071095010,-77.07001316237690,,0,475147,408917,3,3B,3B02,SECOND,204,14,NONE,NONE,NONE,PHONE
14-00028171,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 10:06:21 AM,CLOSED,1,DDOT,N,2/9/2014 9:08:38 PM,UNKNOWN,2/9/2014 9:03:07 PM,2/13/2014 10:06:21 AM,Comments update:  14-00028171-  Meter Found Working,,2/6/2014 10:06:21 AM,2/10/2014 12:36:10 AM,6TH STREET NW & CONSTITUTION AVENUE NW,38.892076176709,-77.01991080267590,,0,207862,207862,2,2C,2C03,FIRST,101,NONE,NONE,NONE,NONE,PHONE
14-00028172,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/6/2014 10:06:29 AM,CLOSED,1,DDOT,N,2/10/2014 11:23:33 PM,UNKNOWN,2/10/2014 11:18:35 PM,2/13/2014 10:06:29 AM,Comments update:  14-00028172-  Meter Found Working,,2/6/2014 10:06:29 AM,2/11/2014 5:35:45 AM,13TH STREET NW & MASSACHUSETTS AVENUE NW,38.90483491254510,-77.029623007419,,0,207369,207369,2,2F,2F05,THIRD,307,8,NONE,NONE,NONE,PHONE
14-00028173,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/6/2014 10:07:14 AM,CLOSED,1,DDOT,N,2/6/2014 10:25:20 AM,UNKNOWN,2/6/2014 10:20:57 AM,2/11/2014 10:07:14 AM,Comments update:  14-00028173-Combined to request - 1300443Combined to request - 1299621Combined to request - 1300306,,2/6/2014 10:07:14 AM,2/7/2014 12:36:11 AM,16TH STREET NW & DECATUR STREET NW,38.94826052588240,-77.03642413500380,,0,137932,137932,4,4C,4C02,FOURTH,404,18,NONE,NONE,NONE,PHONE
14-00028174,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/6/2014 10:07:55 AM,CLOSED,1,DDOT,N,2/8/2014 5:43:55 AM,UNKNOWN,2/8/2014 5:43:59 AM,2/11/2014 10:07:55 AM,"POTHOLE STREET REPAIR ( WO # 405499 )Projected Start:  FEB 07, 2014    Finish: FEB 09, 2014   Actual Start:  N/A    Finish: FEB 07, 2014",,2/6/2014 10:07:55 AM,3/3/2014 12:21:10 PM,5200 - 5299 BLOCK 13TH STREET NW,38.95349314260830,-77.02969577600450,,0,459125,394872,4,4C,4C02,FOURTH,403,18,NONE,NONE,NONE,PHONE
14-00028175,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/6/2014 10:07:57 AM,CLOSED,1,DPW,N,,UNKNOWN,2/14/2014 2:41:19 PM,3/3/2014 10:07:57 AM,,,2/6/2014 10:07:57 AM,9/9/2014 2:45:51 PM,2345 HUNTER PLACE SE,38.85841354852760,-76.98637090021760,20020,48184,32230,32230,8,8A,8A05,SEVENTH,703,37,NONE,NONE,NONE,PHONE
14-00028176,UNKNOWN,S0336,Out of State Parking Violation (ROSA),PARKENFO,Parking Enforcement,2/6/2014 10:09:25 AM,CLOSED,1,DPW,N,,UNKNOWN,2/7/2014 6:34:48 AM,3/25/2014 10:09:25 AM,,,2/6/2014 10:09:25 AM,2/7/2014 7:07:19 AM,1562 41ST STREET SE,38.866977975127,-76.94355435110950,20020,60603,37060,37060,7,7E,7E02,SIXTH,605,34,NONE,NONE,NONE,PHONE
14-00028177,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/6/2014 10:10:10 AM,CLOSED,1,DPW,N,,UNKNOWN,2/14/2014 2:58:46 PM,3/3/2014 10:10:10 AM,,,2/6/2014 10:10:10 AM,9/9/2014 2:45:51 PM,1834 U PLACE SE,38.86638061874010,-76.97774562808020,20020,54956,27698,27698,8,7B,7B01,SEVENTH,701,34,NONE,NONE,NONE,PHONE
14-00028178,UNKNOWN,S05SL,Streetlight Repair Investigation,TRAOP001,TOA,2/6/2014 10:10:55 AM,OVERDUE CLOSED,1,DDOT,N,9/12/2014 12:39:09 PM,UNKNOWN,10/1/2014 9:55:14 AM,2/10/2014 10:10:55 AM,"Comments update:  14-00028178- By SARTIN, LANEL: 9/12/2014 12:35:29 PM This service request can be closed.  Work was either completed 100% or this is a duplicate.  Anything prior to the Current Streetlight contract can be closed per Jama Abdi on 9-12-2014. ",,2/6/2014 10:10:55 AM,10/1/2014 11:12:50 AM,ADAMS MILL ROAD NW & CALVERT STREET NW,38.92323946857910,-77.04335874891560,,0,207085,207085,1,1C,1C04,THIRD,303,1,NONE,NONE,NONE,PHONE
14-00028179,UNKNOWN,CHSASEPR,Child Safety Seat Program,DEPATRAN,DDOT,2/6/2014 10:12:56 AM,CLOSED,1,DDOT,N,2/11/2014 2:46:15 PM,UNKNOWN,2/11/2014 2:42:57 PM,,"Comments update:  14-00028179-Needs car seat installed By GAY, KAREN: 2/11/2014 2:42:52 PM Car Seat Properly Installed  ",,2/6/2014 10:12:56 AM,2/12/2014 8:35:50 AM,3713 YUMA STREET NW,38.94649594540310,-77.07286590842710,20016,222622,65347,65347,3,3F,3F06,SECOND,202,11,NONE,NONE,NONE,WEB
14-00028180,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/6/2014 10:13:35 AM,CLOSED,1,DDOT,N,2/8/2014 12:34:10 PM,UNKNOWN,2/8/2014 12:34:12 PM,2/11/2014 10:13:35 AM,"POTHOLE STREET REPAIR ( WO # 405444 )Projected Start:  FEB 07, 2014    Finish: FEB 09, 2014   Actual Start:  N/A    Finish: FEB 08, 2014",,2/6/2014 10:13:35 AM,2/25/2015 2:04:15 PM,1200 - 1299 BLOCK MONROE STREET NE,38.93259389874690,-76.98983968034940,,0,465798,400862,5,5A,5A07,FIFTH,504,22,NONE,NONE,NONE,PHONE
